time;position24;slider_velocity;slider_velocity_kinks;slider_velocity_GGL_h=0.01;total_energy_system;total_energy_increment_system;time_ref1[Rosenbrock];pos_ref1[Rosenbrock];angle_ref1[LieGroupGenAlpha];time_ref2[LieGroupGenAlpha];pos_ref2[LieGroupGenAlpha]
0.93;0.252652353;-0.615084975;-0.61321375;-0.613500951;0.76643568;-1.21E-16;1.555183946;0.26379194;16.15545499;0.85172741;0.25169556
0.94;0.246553458;-0.609889548;-0.606565346;-0.606113982;0.76643568;2.77E-15;1.571906355;0.253517086;16.37970786;0.86172741;0.25531782
0.95;0.240544842;-0.600861601;-0.595157856;-0.595512162;0.76643568;-1.61E-16;1.588628763;0.243382036;16.58262829;0.87172741;0.25899286
0.96;0.234654702;-0.589014006;-0.582870156;-0.582311444;0.76643568;4.51E-16;1.605351171;0.233541471;16.7715067;0.88172741;0.26270871
0.97;0.228907911;-0.57467909;-0.566488024;-0.566865165;0.76643568;-3.30E-16;1.622073579;0.224103656;16.95143734;0.89172741;0.26644756
0.98;0.223325437;-0.558247348;-0.550006672;-0.549340182;0.76643568;-1.28E-16;1.638795987;0.215162791;17.12660109;0.90172741;0.27018324
0.99;0.217928576;-0.539686135;-0.529365598;-0.529745075;0.76643568;-1.70E-16;1.655518395;0.206819285;17.3011465;0.91172741;0.27387756
1;0.212738091;-0.519048531;-0.508731465;-0.507922758;0.76643568;9.58E-16;1.672240803;0.199206304;17.48012254;0.92172741;0.27747483
1.01;0.207778665;-0.495942514;-0.483153563;-0.483503339;0.76643568;-2.78E-16;1.688963211;0.192550788;17.67099325;0.93172741;0.28089442
1.02;0.203078621;-0.470004469;-0.456855375;-0.455793715;0.76643568;1.91E-16;1.705685619;0.18736336;17.88596657;0.94172741;0.28402146
1.03;0.19867764;-0.440098079;-0.423340784;-0.423543193;0.76643568;-2.53E-16;1.722408027;0.184968177;18.13285559;0.95172741;0.28669915
1.04;0.194630296;-0.404734385;-0.386127986;-0.384439244;0.76643568;-1.73E-16;1.739130435;0.186349415;18.35894681;0.96172741;0.28873211
1.05;0.19102711;-0.360318607;-0.334509229;-0.334001509;0.76643568;-2.71E-16;1.755852843;0.189536383;18.52762985;0.97172741;0.28991734
1.06;0.188018822;-0.300828766;-0.267148302;-0.263401455;0.76643568;1.29E-15;1.772575251;0.193227928;18.6606515;0.98122036;0.29012374
1.07;0.185878391;-0.214043132;-0.160937962;-0.158473905;0.76643568;-8.19E-16;1.789297659;0.197102947;18.77417501;0.99027808;0.28946029
1.08;0.184967922;-0.091046869;-0.021155777;-0.019599106;0.76643568;1.91E-16;1.806020067;0.201092077;18.87649964;0.99934674;0.28802665
1.09;0.185395707;0.042778418;0.106712613;0.101206453;0.76643568;4.02E-16;1.822742475;0.205192268;18.97232393;1.00879504;0.2858586
1.1;0.186771162;0.137545506;0.1683784;0.168710886;0.76643568;9.02E-17;1.839464883;0.209421456;19.06464362;1.01879504;0.283001
1.11;0.188629568;0.185840634;0.203302867;0.200818069;0.76643568;1.5E-16;1.856187291;0.213804979;19.1555891;1.02879504;0.27974212
1.12;0.190723305;0.209373714;0.21544456;0.216700951;0.76643568;7.98E-17;1.872909699;0.218370968;19.24683263;1.03879504;0.27622502
1.13;0.192935241;0.221193569;0.226942579;0.225531972;0.76643568;1.73E-18;1.889632107;0.223148601;19.33981802;1.04879504;0.27255238
1.14;0.195220353;0.228511231;0.230079883;0.231298284;0.76643568;1.91E-17;1.906354515;0.228167413;19.43591119;1.05879504;0.26879203
1.15;0.197554595;0.233424143;0.236768404;0.23581222;0.76643568;-9.74E-17;1.923076923;0.23345697;19.53652044;1.06879504;0.26498414
1.16;0.199932857;0.23782626;0.238884116;0.239952721;0.76643568;1.39E-16;1.939799331;0.239046454;19.64322396;1.07879504;0.26114795
1.17;0.202351473;0.241861623;0.24483913;0.244171367;0.76643568;-1.07E-16;1.956521739;0.24496405;19.7579239;1.08879504;0.25728774
