time,total_energy,energy_increment,external_power,tip_velocity_B_1,tip_velocity_B_2,tip_velocity_B_3,tip_position_I_1,tip_position_I_2,tip_position_I_3,mid_constraint_1,mid_constraint_2,mid_constraint_3,mid_constraint_4,mid_constraint_5,mid_constraint_6,mid_constraint_norm,drift_K_1,drift_K_2,drift_K_3,Gamma_1,Gamma_2,Gamma_3
0.041,0.0925052346099507,0.000270960572429008,-0.270960572428995,-2.20770449583284,-1.76854099062058,0.344489587231989,0.993546507921803,0.0577887326635353,0.0596194608329786,1.66533453693773e-15,1.55431223447522e-15,-5.55111512312578e-17,-4.55364912443912e-18,3.46944695195361e-18,0,2.27867064378565e-15,4.03580536654483e-16,6.20886114105645e-16,5.55168213190394e-15,3.41085126931705e-16,2.88080560901565e-16,3.61462428790642e-15
0.042,0.0922342740375217,0.000186698941986072,-0.186698941985991,-2.02594874432902,-1.68209543679311,0.355909164455917,0.993370678802226,0.0597425816908567,0.0615514140937405,1.66533453693773e-15,1.55431223447522e-15,-5.55111512312578e-17,-8.89045781438114e-18,3.46944695195361e-18,3.46944695195361e-18,2.27868607851815e-15,4.55348390968235e-16,6.1715976181331e-16,5.5694912078535e-15,4.81117221633193e-16,4.29156433165873e-16,4.47019895876953e-15
0.043,0.0920475750955356,0.000151721365590732,-0.15172136559063,-1.84765059914564,-1.58528850873466,0.363402313033501,0.993242538436288,0.0615641426612279,0.0633445574542852,1.77635683940025e-15,1.55431223447522e-15,-5.55111512312578e-17,-4.55364912443912e-18,0,-6.93889390390723e-18,2.36103378099581e-15,5.4009724654656e-16,7.24675038545662e-16,5.54073719687482e-15,4.50679095397489e-16,3.84014687145301e-16,4.10247688573759e-15
0.044,0.0918958537299449,4.73138293463071e-05,-0.0473138293462396,-1.67554753085992,-1.48366872060401,0.366677998929395,0.993160332420767,0.0632514059494813,0.0649991710956664,1.77635683940025e-15,1.55431223447522e-15,0,-6.07153216591882e-18,0,0,2.36037433612261e-15,4.98179374973317e-16,6.95091307752142e-16,5.53714739200124e-15,5.15960132387919e-16,4.23181899796397e-16,4.53962782361299e-15
0.045,0.0918485399005985,1.95424147089729e-05,-0.0195424147089824,-1.51687159928007,-1.37800504586995,0.365423579612271,0.993120288314578,0.0648061750690709,0.0665191540120954,1.66533453693773e-15,1.55431223447522e-15,0,-7.37257477290143e-18,0,-6.93889390390723e-18,2.27800968945796e-15,5.43113219897086e-16,6.40876207659491e-16,5.56166306255926e-15,5.9765438740201e-16,4.98579219268156e-16,5.16514781604842e-15
0.046,0.0918289974858896,2.24699047447763e-06,0.0022469904745048,-1.37168663100881,-1.27481284802536,0.359575017543122,0.993116892683369,0.0662337691968404,0.0679115232393482,1.77635683940025e-15,1.55431223447522e-15,-5.55111512312578e-17,-8.23993651088983e-18,0,-6.93889390390723e-18,2.36104376830179e-15,5.13374525700269e-16,5.84591375462974e-16,5.58154044719598e-15,6.13982199480795e-16,5.21166156031042e-16,5.229919413355e-15
0.047,0.0918312444763641,1.96120183636461e-05,0.019612018363589,-1.24204136563673,-1.1762709343059,0.349041955745608,0.993143391313014,0.0675422192837554,0.069185341886638,1.66533453693773e-15,1.55431223447522e-15,-5.55111512312578e-17,-7.80625564189563e-18,0,0,2.2786768238816e-15,5.09157316692636e-16,6.14087832246679e-16,5.58580255542803e-15,6.56017976213203e-16,5.40316243420025e-16,5.54027987394734e-15
0.048,0.0918508564947277,8.42977321903471e-06,0.00842977321905697,-1.13322859657376,-1.08510446052508,0.33401188716527,0.993191942849909,0.0687428063938787,0.070352284377829,1.77635683940025e-15,1.66533453693773e-15,-1.11022302462516e-16,-6.93889390390723e-18,0,-6.93889390390723e-18,2.43745871533098e-15,5.82298935935229e-16,6.6064082526454e-16,5.57908372556753e-15,6.35272645971874e-16,5.71763655547942e-16,5.40592831770196e-15
0.049,0.0918592862679467,1.6952904559886e-06,0.00169529045604776,-1.04299656165411,-1.0065451370234,0.31473915208457,0.993254023600594,0.0698498311574605,0.0714263273735776,1.77635683940025e-15,1.66533453693773e-15,-1.11022302462516e-16,-6.50521303491303e-18,0,-6.93889390390723e-18,2.43745751932028e-15,5.89770746700305e-16,6.72525294054753e-16,5.58338820511059e-15,6.83909092804327e-16,5.64864004474065e-16,5.57417374852885e-15
0.05,0.0918609815584027,4.16333634234434e-17,0,-0.974922090042716,-0.93999829295246,0.291695826894934,0.993321042668986,0.0708794723569737,0.0724225895016099,1.77635683940025e-15,1.66533453693773e-15,-5.55111512312578e-17,-6.93889390390723e-18,-1.38777878078145e-17,0,2.43559129780752e-15,5.29286227542576e-16,6.41821267869214e-16,5.5848254723482e-15,6.56063348535475e-16,5.57604334063724e-16,5.63239895994118e-15
0.051,0.0918609815584028,1.38777878078145e-17,0,-0.925906259100213,-0.885429447957889,0.265353788115389,0.993384947521213,0.0718484105138518,0.0733558708593901,1.66533453693773e-15,1.66533453693773e-15,-1.66533453693773e-16,-6.50521303491303e-18,-6.93889390390723e-18,-6.93889390390723e-18,2.36104854785501e-15,5.87590972573921e-16,6.60695581704241e-16,5.58238425981685e-15,7.01221197440525e-16,5.81706879552101e-16,6.17435241067261e-15
0.052,0.0918609815584027,0,0,-0.88951075416646,-0.841551045116578,0.236245341587255,0.993439003543854,0.0727719293301896,0.0742371684617773,1.77635683940025e-15,1.66533453693773e-15,-1.11022302462516e-16,-6.93889390390723e-18,-2.08166817117217e-17,-6.93889390390723e-18,2.43754760429011e-15,5.31274552894587e-16,6.79756452078808e-16,5.58389027008532e-15,8.04048190725371e-16,6.95488947228116e-16,7.03487499696705e-15
0.053,0.0918609815584027,8.32667268468867e-17,0,-0.869052852709733,-0.807803825611832,0.20490957918334,0.993477520302579,0.0736643737283712,0.0750762258558119,1.77635683940025e-15,1.55431223447522e-15,-1.66533453693773e-16,-6.93889390390723e-18,-1.38777878078145e-17,-6.93889390390723e-18,2.36629508384188e-15,4.92830062196617e-16,6.80081877330695e-16,5.58153954165582e-15,8.30614353348855e-16,7.23900055861467e-16,7.10455994291699e-15
0.054,0.0918609815584027,1.38777878078145e-16,0,-0.865510148893138,-0.785579669468718,0.172118343273821,0.99349539425695,0.0745413653951575,0.0758843655556169,1.66533453693773e-15,1.66533453693773e-15,-1.66533453693773e-16,-6.07153216591882e-18,-1.38777878078145e-17,0,2.36106778545888e-15,5.14464260258374e-16,7.37463932228427e-16,5.58096050905975e-15,8.41827657993776e-16,6.64458111171938e-16,6.72458658374138e-15
0.055,0.0918609815584025,0,0,-0.875927609172757,-0.77781014448372,0.138610243094677,0.993488377040132,0.0754188784939576,0.0766738905856036,1.77635683940025e-15,1.66533453693773e-15,-2.22044604925031e-16,-6.07153216591882e-18,-2.08166817117217e-17,0,2.44510873891496e-15,5.07087912079043e-16,6.60209740167411e-16,5.5800855972122e-15,8.15198686307993e-16,7.49371428220356e-16,6.9403370437683e-15
0.056,0.0918609815584025,1.38777878078145e-17,0,-0.903645772210521,-0.780672367080083,0.105253707072505,0.993453258399475,0.0763124345631903,0.0774576251808381,1.77635683940025e-15,1.55431223447522e-15,-2.22044604925031e-16,-6.07153216591882e-18,-2.77555756156289e-17,-6.93889390390723e-18,2.3709680161126e-15,4.78860378859141e-16,5.91162902357514e-16,5.58551477034755e-15,8.43491340743129e-16,6.35657368722756e-16,6.78253364544795e-15
0.057,0.0918609815584025,1.94289029309402e-16,0,-0.944494189423677,-0.799096348250339,0.0727462964004737,0.993387800898684,0.0772371232644819,0.0782491484927623,1.77635683940025e-15,1.66533453693773e-15,-2.22044604925031e-16,-6.93889390390723e-18,-3.46944695195361e-17,-1.38777878078145e-17,2.44530795501022e-15,5.1699103714187e-16,6.17657127370961e-16,5.57802815281871e-15,8.48719554735644e-16,6.7721361077387e-16,6.98922650294278e-15
0.058,0.0918609815584023,1.80411241501588e-16,0,-0.998591793254794,-0.830365421350957,0.0417647115668041,0.993290714500269,0.0782069526650684,0.0790622004453736,1.77635683940025e-15,1.66533453693773e-15,-2.77555756156289e-16,-6.07153216591882e-18,-2.08166817117217e-17,-1.38777878078145e-17,2.4508126671192e-15,4.65535910034582e-16,6.46346095302577e-16,5.58023126329745e-15,8.86375798380126e-16,7.38969931019747e-16,6.77503310328222e-15
0.059,0.0918609815584025,8.32667268468867e-17,0,-1.06476497333232,-0.873969824310379,0.012784326388264,0.993161577322574,0.0792342620604381,0.0799103390450482,1.77635683940025e-15,1.55431223447522e-15,-3.88578058618805e-16,-5.20417042793042e-18,-2.77555756156289e-17,-1.38777878078145e-17,2.39234468652103e-15,4.85239972461429e-16,6.34535219461023e-16,5.58156747201189e-15,9.19961432496656e-16,8.41839694529721e-16,7.29612733132043e-15
